epoch,epochs,batch,batches,lr,loss
0,80,0,43,0.0002,0.6972650289535522
0,80,4,43,0.0002,0.6817194819450378
0,80,8,43,0.0002,0.664026141166687
0,80,12,43,0.0002,0.6501335501670837
0,80,16,43,0.0002,0.6496909260749817
0,80,20,43,0.0002,0.6580483913421631
0,80,24,43,0.0002,0.6415530443191528
0,80,28,43,0.0002,0.6575786471366882
0,80,32,43,0.0002,0.6352125406265259
0,80,36,43,0.0002,0.6401312351226807
0,80,40,43,0.0002,0.6470348834991455
1,80,0,43,0.00019800000000000002,0.6885439157485962
1,80,4,43,0.00019800000000000002,0.6482189893722534
1,80,8,43,0.00019800000000000002,0.6141064763069153
1,80,12,43,0.00019800000000000002,0.6152415871620178
1,80,16,43,0.00019800000000000002,0.6293171048164368
1,80,20,43,0.00019800000000000002,0.6092458367347717
1,80,24,43,0.00019800000000000002,0.6183258891105652
1,80,28,43,0.00019800000000000002,0.6313241720199585
1,80,32,43,0.00019800000000000002,0.5862017869949341
1,80,36,43,0.00019800000000000002,0.5666220784187317
1,80,40,43,0.00019800000000000002,0.6208599805831909
2,80,0,43,0.00019602,0.6265703439712524
2,80,4,43,0.00019602,0.5799872875213623
2,80,8,43,0.00019602,0.5644572973251343
2,80,12,43,0.00019602,0.5761719346046448
2,80,16,43,0.00019602,0.5835484266281128
2,80,20,43,0.00019602,0.5789005756378174
2,80,24,43,0.00019602,0.6069256067276001
2,80,28,43,0.00019602,0.5521315932273865
2,80,32,43,0.00019602,0.6231083273887634
2,80,36,43,0.00019602,0.5421861410140991
2,80,40,43,0.00019602,0.5706420540809631
3,80,0,43,0.0001940598,0.5772287249565125
3,80,4,43,0.0001940598,0.5435061454772949
3,80,8,43,0.0001940598,0.5822296142578125
3,80,12,43,0.0001940598,0.5660399198532104
3,80,16,43,0.0001940598,0.5977140665054321
3,80,20,43,0.0001940598,0.5460957288742065
3,80,24,43,0.0001940598,0.6321420669555664
3,80,28,43,0.0001940598,0.5975796580314636
3,80,32,43,0.0001940598,0.5861049890518188
3,80,36,43,0.0001940598,0.5298192501068115
3,80,40,43,0.0001940598,0.5493859052658081
4,80,0,43,0.000192119202,0.6038510799407959
4,80,4,43,0.000192119202,0.5558472871780396
4,80,8,43,0.000192119202,0.5259546041488647
4,80,12,43,0.000192119202,0.47332316637039185
4,80,16,43,0.000192119202,0.5333771109580994
4,80,20,43,0.000192119202,0.514974057674408
4,80,24,43,0.000192119202,0.554084062576294
4,80,28,43,0.000192119202,0.5548056364059448
