epoch,epochs,batch,batches,lr,loss
epoch,epochs,batch,batches,lr,loss
epoch,epochs,batch,batches,lr,loss
epoch,epochs,batch,batches,lr,loss
epoch,epochs,batch,batches,lr,loss
0,100,0,19,0.0002,0.6865769028663635
0,100,4,19,0.0002,0.6722342371940613
0,100,8,19,0.0002,0.658334493637085
0,100,12,19,0.0002,0.6534981727600098
0,100,16,19,0.0002,0.6678277254104614
epoch,epochs,batch,batches,lr,loss
0,100,0,19,0.0002,0.7420483231544495
0,100,4,19,0.0002,0.7109331488609314
0,100,8,19,0.0002,0.6976801156997681
0,100,12,19,0.0002,0.6893794536590576
0,100,16,19,0.0002,0.6925101280212402
1,100,0,19,0.0002,0.6844558715820312
1,100,4,19,0.0002,0.6725155115127563
1,100,8,19,0.0002,0.6709173321723938
1,100,12,19,0.0002,0.6687541604042053
1,100,16,19,0.0002,0.6595645546913147
2,100,0,19,0.0002,0.6457153558731079
2,100,4,19,0.0002,0.6642050743103027
2,100,8,19,0.0002,0.6724650859832764
2,100,12,19,0.0002,0.6457898020744324
2,100,16,19,0.0002,0.6538323163986206
3,100,0,19,0.0002,0.6244004964828491
3,100,4,19,0.0002,0.6299429535865784
3,100,8,19,0.0002,0.6292541027069092
3,100,12,19,0.0002,0.6422790288925171
3,100,16,19,0.0002,0.6106443405151367
4,100,0,19,0.0002,0.6044158935546875
4,100,4,19,0.0002,0.6210923194885254
4,100,8,19,0.0002,0.6149365901947021
4,100,12,19,0.0002,0.6127640008926392
4,100,16,19,0.0002,0.5991430878639221
5,100,0,19,0.0002,0.6269094347953796
5,100,4,19,0.0002,0.5956815481185913
5,100,8,19,0.0002,0.5831443071365356
5,100,12,19,0.0002,0.585946261882782
5,100,16,19,0.0002,0.6553781032562256
6,100,0,19,0.0002,0.6036756634712219
6,100,4,19,0.0002,0.6409226655960083
6,100,8,19,0.0002,0.5785424709320068
6,100,12,19,0.0002,0.5741777420043945
6,100,16,19,0.0002,0.5769495368003845
7,100,0,19,0.0002,0.5767250061035156
7,100,4,19,0.0002,0.5513178706169128
7,100,8,19,0.0002,0.5345808267593384
7,100,12,19,0.0002,0.5420377254486084
7,100,16,19,0.0002,0.6153292655944824
8,100,0,19,0.0002,0.5312150120735168
8,100,4,19,0.0002,0.5742849111557007
8,100,8,19,0.0002,0.5961771607398987
8,100,12,19,0.0002,0.5412551164627075
8,100,16,19,0.0002,0.5627653002738953
9,100,0,19,0.0002,0.5906466245651245
9,100,4,19,0.0002,0.5405064821243286
9,100,8,19,0.0002,0.5198365449905396
9,100,12,19,0.0002,0.5650426149368286
9,100,16,19,0.0002,0.5657768845558167
10,100,0,19,0.0002,0.5342873334884644
10,100,4,19,0.0002,0.4905480146408081
10,100,8,19,0.0002,0.523375391960144
10,100,12,19,0.0002,0.5269637107849121
10,100,16,19,0.0002,0.5483609437942505
11,100,0,19,0.0002,0.5354387760162354
11,100,4,19,0.0002,0.5507474541664124
