epoch,epochs,batch,batches,lr,loss
0,100,0,19,0.0002,0.6550253629684448
0,100,4,19,0.0002,0.6493005752563477
0,100,8,19,0.0002,0.6898338198661804
0,100,12,19,0.0002,0.640243649482727
0,100,16,19,0.0002,0.6170057058334351
1,100,0,19,0.00019800000000000002,0.6382023692131042
1,100,4,19,0.00019800000000000002,0.6149476170539856
1,100,8,19,0.00019800000000000002,0.6103354692459106
1,100,12,19,0.00019800000000000002,0.613067090511322
1,100,16,19,0.00019800000000000002,0.6139509677886963
2,100,0,19,0.00019602,0.6325977444648743
2,100,4,19,0.00019602,0.686119794845581
2,100,8,19,0.00019602,0.5977485179901123
2,100,12,19,0.00019602,0.6138017773628235
2,100,16,19,0.00019602,0.6378831267356873
3,100,0,19,0.0001940598,0.6367522478103638
3,100,4,19,0.0001940598,0.6019741892814636
3,100,8,19,0.0001940598,0.5993568897247314
3,100,12,19,0.0001940598,0.6163110733032227
3,100,16,19,0.0001940598,0.6418111324310303
4,100,0,19,0.000192119202,0.6083846092224121
4,100,4,19,0.000192119202,0.5424608588218689
4,100,8,19,0.000192119202,0.5978868007659912
4,100,12,19,0.000192119202,0.6013093590736389
4,100,16,19,0.000192119202,0.6366857290267944
5,100,0,19,0.00019019800998,0.6701244115829468
5,100,4,19,0.00019019800998,0.5740038156509399
5,100,8,19,0.00019019800998,0.6025533080101013
5,100,12,19,0.00019019800998,0.6304322481155396
5,100,16,19,0.00019019800998,0.5656394958496094
6,100,0,19,0.0001882960298802,0.6026214957237244
6,100,4,19,0.0001882960298802,0.5996497869491577
6,100,8,19,0.0001882960298802,0.5322468280792236
6,100,12,19,0.0001882960298802,0.5669237375259399
6,100,16,19,0.0001882960298802,0.5697286128997803
7,100,0,19,0.00018641306958139798,0.5110918879508972
7,100,4,19,0.00018641306958139798,0.5282214879989624
7,100,8,19,0.00018641306958139798,0.5976373553276062
7,100,12,19,0.00018641306958139798,0.5809015035629272
7,100,16,19,0.00018641306958139798,0.5492891669273376
8,100,0,19,0.00018454893888558403,0.5757226347923279
8,100,4,19,0.00018454893888558403,0.6111979484558105
8,100,8,19,0.00018454893888558403,0.603065013885498
8,100,12,19,0.00018454893888558403,0.5851219892501831
8,100,16,19,0.00018454893888558403,0.5582593679428101
9,100,0,19,0.00018270344949672818,0.5664790868759155
9,100,4,19,0.00018270344949672818,0.5313226580619812
9,100,8,19,0.00018270344949672818,0.5085166096687317
9,100,12,19,0.00018270344949672818,0.5703387260437012
9,100,16,19,0.00018270344949672818,0.5256509184837341
10,100,0,19,0.00018087641500176088,0.58320152759552
10,100,4,19,0.00018087641500176088,0.5698719024658203
10,100,8,19,0.00018087641500176088,0.5225794315338135
10,100,12,19,0.00018087641500176088,0.527906596660614
10,100,16,19,0.00018087641500176088,0.5338473320007324
11,100,0,19,0.00017906765085174328,0.5308055877685547
11,100,4,19,0.00017906765085174328,0.516464352607727
11,100,8,19,0.00017906765085174328,0.5500982403755188
11,100,12,19,0.00017906765085174328,0.502443253993988
11,100,16,19,0.00017906765085174328,0.5035545825958252
12,100,0,19,0.00017727697434322587,0.48917311429977417
12,100,4,19,0.00017727697434322587,0.48688018321990967
12,100,8,19,0.00017727697434322587,0.4965188205242157
12,100,12,19,0.00017727697434322587,0.5008541941642761
12,100,16,19,0.00017727697434322587,0.5686148405075073
13,100,0,19,0.0001755042045997936,0.4604426920413971
13,100,4,19,0.0001755042045997936,0.5135121941566467
13,100,8,19,0.0001755042045997936,0.5095582008361816
13,100,12,19,0.0001755042045997936,0.5937539339065552
13,100,16,19,0.0001755042045997936,0.5817598700523376
14,100,0,19,0.00017374916255379565,0.47939562797546387
14,100,4,19,0.00017374916255379565,0.4614335298538208
14,100,8,19,0.00017374916255379565,0.5452877879142761
14,100,12,19,0.00017374916255379565,0.4823875427246094
14,100,16,19,0.00017374916255379565,0.4265992343425751
15,100,0,19,0.00017201167092825768,0.4903635084629059
15,100,4,19,0.00017201167092825768,0.5117224454879761
15,100,8,19,0.00017201167092825768,0.4424615502357483
15,100,12,19,0.00017201167092825768,0.5193369388580322
15,100,16,19,0.00017201167092825768,0.48709219694137573
16,100,0,19,0.00017029155421897512,0.4705932140350342
16,100,4,19,0.00017029155421897512,0.4176895022392273
16,100,8,19,0.00017029155421897512,0.47148603200912476
16,100,12,19,0.00017029155421897512,0.4885890781879425
16,100,16,19,0.00017029155421897512,0.49594566226005554
17,100,0,19,0.00016858863867678535,0.4113140404224396
17,100,4,19,0.00016858863867678535,0.4577709436416626
17,100,8,19,0.00016858863867678535,0.4647582769393921
17,100,12,19,0.00016858863867678535,0.3936730623245239
17,100,16,19,0.00016858863867678535,0.4585973620414734
18,100,0,19,0.0001669027522900175,0.37615829706192017
18,100,4,19,0.0001669027522900175,0.43971681594848633
18,100,8,19,0.0001669027522900175,0.4003542363643646
18,100,12,19,0.0001669027522900175,0.4336670935153961
18,100,16,19,0.0001669027522900175,0.4659438729286194
19,100,0,19,0.00016523372476711734,0.3935772478580475
19,100,4,19,0.00016523372476711734,0.4629065692424774
19,100,8,19,0.00016523372476711734,0.39410051703453064
19,100,12,19,0.00016523372476711734,0.432794451713562
