epoch,epochs,batch,batches,lr,loss
0,100,0,19,0.0002,0.7368360757827759
0,100,4,19,0.0002,0.6966934204101562
0,100,8,19,0.0002,0.6842309236526489
0,100,12,19,0.0002,0.6787748336791992
0,100,16,19,0.0002,0.6829989552497864
1,100,0,19,0.00019800000000000002,0.6713801622390747
1,100,4,19,0.00019800000000000002,0.6652573347091675
1,100,8,19,0.00019800000000000002,0.6541160345077515
1,100,12,19,0.00019800000000000002,0.6412203311920166
1,100,16,19,0.00019800000000000002,0.6376618146896362
2,100,0,19,0.00019602,0.6328076720237732
2,100,4,19,0.00019602,0.6302913427352905
2,100,8,19,0.00019602,0.6398996114730835
2,100,12,19,0.00019602,0.6507612466812134
2,100,16,19,0.00019602,0.6517505645751953
3,100,0,19,0.0001940598,0.6227326989173889
3,100,4,19,0.0001940598,0.582330048084259
3,100,8,19,0.0001940598,0.6296258568763733
3,100,12,19,0.0001940598,0.6079175472259521
3,100,16,19,0.0001940598,0.5821180939674377
4,100,0,19,0.000192119202,0.5889183282852173
4,100,4,19,0.000192119202,0.5888255834579468
4,100,8,19,0.000192119202,0.5948658585548401
4,100,12,19,0.000192119202,0.562653660774231
4,100,16,19,0.000192119202,0.5451437830924988
5,100,0,19,0.00019019800998,0.6016132831573486
5,100,4,19,0.00019019800998,0.5748592615127563
5,100,8,19,0.00019019800998,0.5717017650604248
5,100,12,19,0.00019019800998,0.5415021777153015
5,100,16,19,0.00019019800998,0.533974289894104
6,100,0,19,0.0001882960298802,0.4879717230796814
6,100,4,19,0.0001882960298802,0.51434725522995
6,100,8,19,0.0001882960298802,0.5446535348892212
6,100,12,19,0.0001882960298802,0.5327906608581543
6,100,16,19,0.0001882960298802,0.5182412266731262
7,100,0,19,0.00018641306958139798,0.5092859268188477
7,100,4,19,0.00018641306958139798,0.4844646751880646
7,100,8,19,0.00018641306958139798,0.4964941442012787
7,100,12,19,0.00018641306958139798,0.5091544389724731
7,100,16,19,0.00018641306958139798,0.5186620950698853
8,100,0,19,0.00018454893888558403,0.4496808648109436
8,100,4,19,0.00018454893888558403,0.47213536500930786
8,100,8,19,0.00018454893888558403,0.4836212694644928
8,100,12,19,0.00018454893888558403,0.5336922407150269
8,100,16,19,0.00018454893888558403,0.46209728717803955
9,100,0,19,0.00018270344949672818,0.49638158082962036
9,100,4,19,0.00018270344949672818,0.44830605387687683
9,100,8,19,0.00018270344949672818,0.45894140005111694
9,100,12,19,0.00018270344949672818,0.45066434144973755
9,100,16,19,0.00018270344949672818,0.4470422565937042
10,100,0,19,0.00018087641500176088,0.42259687185287476
10,100,4,19,0.00018087641500176088,0.43399932980537415
10,100,8,19,0.00018087641500176088,0.4934832453727722
10,100,12,19,0.00018087641500176088,0.42228832840919495
10,100,16,19,0.00018087641500176088,0.39527052640914917
11,100,0,19,0.00017906765085174328,0.4101657569408417
11,100,4,19,0.00017906765085174328,0.39051568508148193
11,100,8,19,0.00017906765085174328,0.4196256101131439
11,100,12,19,0.00017906765085174328,0.3677061200141907
11,100,16,19,0.00017906765085174328,0.4013219475746155
12,100,0,19,0.00017727697434322587,0.35622864961624146
12,100,4,19,0.00017727697434322587,0.36570972204208374
12,100,8,19,0.00017727697434322587,0.40244102478027344
12,100,12,19,0.00017727697434322587,0.3604929745197296
12,100,16,19,0.00017727697434322587,0.37462151050567627
13,100,0,19,0.0001755042045997936,0.37426963448524475
13,100,4,19,0.0001755042045997936,0.33817756175994873
13,100,8,19,0.0001755042045997936,0.3289431929588318
13,100,12,19,0.0001755042045997936,0.3556191325187683
13,100,16,19,0.0001755042045997936,0.31341731548309326
14,100,0,19,0.00017374916255379565,0.35541021823883057
14,100,4,19,0.00017374916255379565,0.3027926981449127
14,100,8,19,0.00017374916255379565,0.34463900327682495
14,100,12,19,0.00017374916255379565,0.2845023572444916
14,100,16,19,0.00017374916255379565,0.28509438037872314
15,100,0,19,0.00017201167092825768,0.31971344351768494
15,100,4,19,0.00017201167092825768,0.3003641963005066
15,100,8,19,0.00017201167092825768,0.2974243760108948
15,100,12,19,0.00017201167092825768,0.26870542764663696
15,100,16,19,0.00017201167092825768,0.33557599782943726
16,100,0,19,0.00017029155421897512,0.2963765263557434
16,100,4,19,0.00017029155421897512,0.24471579492092133
16,100,8,19,0.00017029155421897512,0.2557729184627533
