epoch,epochs,batch,batches,lr,loss
0,100,0,12,0.0002,0.6768925786018372
0,100,4,12,0.0002,0.6622287034988403
0,100,8,12,0.0002,0.5727999210357666
1,100,0,12,0.0002,0.6166613101959229
1,100,4,12,0.0002,0.5443411469459534
1,100,8,12,0.0002,0.6691533327102661
2,100,0,12,0.0002,0.6273874044418335
2,100,4,12,0.0002,0.637386679649353
2,100,8,12,0.0002,0.644446611404419
3,100,0,12,0.0002,0.5486755967140198
3,100,4,12,0.0002,0.6047725677490234
3,100,8,12,0.0002,0.5929086208343506
4,100,0,12,0.0002,0.5859107971191406
4,100,4,12,0.0002,0.5962529182434082
4,100,8,12,0.0002,0.6136382222175598
5,100,0,12,0.0002,0.5761804580688477
5,100,4,12,0.0002,0.5633323788642883
5,100,8,12,0.0002,0.5658935308456421
6,100,0,12,0.0002,0.4995872974395752
6,100,4,12,0.0002,0.5748250484466553
6,100,8,12,0.0002,0.5204983949661255
7,100,0,12,0.0002,0.5867178440093994
7,100,4,12,0.0002,0.5641508102416992
7,100,8,12,0.0002,0.5176532864570618
8,100,0,12,0.0002,0.5104016065597534
8,100,4,12,0.0002,0.5455666780471802
8,100,8,12,0.0002,0.48592624068260193
9,100,0,12,0.0002,0.49680665135383606
9,100,4,12,0.0002,0.47921377420425415
9,100,8,12,0.0002,0.47914159297943115
10,100,0,12,0.0002,0.43421652913093567
10,100,4,12,0.0002,0.46091270446777344
10,100,8,12,0.0002,0.4635372459888458
11,100,0,12,0.0002,0.45659348368644714
11,100,4,12,0.0002,0.48694440722465515
11,100,8,12,0.0002,0.4719797372817993
12,100,0,12,0.0002,0.44139474630355835
12,100,4,12,0.0002,0.47196048498153687
12,100,8,12,0.0002,0.45796823501586914
13,100,0,12,0.0002,0.3827327489852905
13,100,4,12,0.0002,0.45668357610702515
13,100,8,12,0.0002,0.44198963046073914
14,100,0,12,0.0002,0.46236464381217957
14,100,4,12,0.0002,0.4060501158237457
14,100,8,12,0.0002,0.38566508889198303
15,100,0,12,0.0002,0.3963429927825928
15,100,4,12,0.0002,0.4684212803840637
15,100,8,12,0.0002,0.38274696469306946
16,100,0,12,0.0002,0.38241204619407654
16,100,4,12,0.0002,0.3924362063407898
16,100,8,12,0.0002,0.37992268800735474
17,100,0,12,0.0002,0.3673378825187683
17,100,4,12,0.0002,0.37058305740356445
17,100,8,12,0.0002,0.3861824870109558
18,100,0,12,0.0002,0.38323041796684265
18,100,4,12,0.0002,0.3683967590332031
18,100,8,12,0.0002,0.3421967625617981
19,100,0,12,0.0002,0.3510093688964844
19,100,4,12,0.0002,0.34575945138931274
19,100,8,12,0.0002,0.3250655233860016
20,100,0,12,0.0002,0.312424898147583
20,100,4,12,0.0002,0.3275250494480133
20,100,8,12,0.0002,0.3310326039791107
21,100,0,12,0.0002,0.3357396125793457
21,100,4,12,0.0002,0.33321571350097656
21,100,8,12,0.0002,0.317030668258667
22,100,0,12,0.0002,0.30006787180900574
22,100,4,12,0.0002,0.29029303789138794
22,100,8,12,0.0002,0.3187189996242523
23,100,0,12,0.0002,0.27863869071006775
23,100,4,12,0.0002,0.24289239943027496
23,100,8,12,0.0002,0.2836208939552307
24,100,0,12,0.0002,0.288501501083374
24,100,4,12,0.0002,0.2949310541152954
24,100,8,12,0.0002,0.28784966468811035
25,100,0,12,0.0002,0.3214428424835205
25,100,4,12,0.0002,0.2919372320175171
25,100,8,12,0.0002,0.26974502205848694
26,100,0,12,0.0002,0.2973478436470032
26,100,4,12,0.0002,0.2904680073261261
26,100,8,12,0.0002,0.2346658706665039
27,100,0,12,0.0002,0.2559402585029602
27,100,4,12,0.0002,0.3631643056869507
27,100,8,12,0.0002,0.24222122132778168
28,100,0,12,0.0002,0.25755131244659424
28,100,4,12,0.0002,0.26075053215026855
28,100,8,12,0.0002,0.22173067927360535
29,100,0,12,0.0002,0.23721912503242493
29,100,4,12,0.0002,0.2369922399520874
29,100,8,12,0.0002,0.23998510837554932
30,100,0,12,0.0002,0.2189943790435791
30,100,4,12,0.0002,0.2094060182571411
30,100,8,12,0.0002,0.22618688642978668
31,100,0,12,0.0002,0.2066819965839386
31,100,4,12,0.0002,0.2332235872745514
31,100,8,12,0.0002,0.22828742861747742
32,100,0,12,0.0002,0.21231400966644287
32,100,4,12,0.0002,0.1959112286567688
32,100,8,12,0.0002,0.2038803994655609
33,100,0,12,0.0002,0.20832166075706482
33,100,4,12,0.0002,0.1982913613319397
33,100,8,12,0.0002,0.19893059134483337
34,100,0,12,0.0002,0.23702654242515564
34,100,4,12,0.0002,0.20389068126678467
34,100,8,12,0.0002,0.22579863667488098
35,100,0,12,0.0002,0.18345874547958374
35,100,4,12,0.0002,0.23548364639282227
