time,epoch,loss,accuracy,precision,recall,auc,mcc_01,mcc_05,mcc_09,mcc_099
00:07:18,0,0.31592222295701505,0.907875,0.09615385,0.0017205781,0.6339617,0.111409284,0.0007499478,0.0,0.0
00:14:32,1,0.2695342503041029,0.9093125,0.5504587,0.020597322,0.78966457,0.26984328,0.093374096,0.0,0.0
00:21:32,2,0.23069122283905744,0.9171875,0.62107396,0.21218415,0.86360806,0.3613905,0.33041462,0.043299805,0.0
00:28:27,3,0.21680048525333404,0.92140627,0.6476965,0.32395798,0.8887859,0.40487432,0.4221715,0.10029937,0.0
00:35:40,4,0.21080858448147774,0.924,0.6579134,0.32221064,0.8915603,0.41684714,0.42616177,0.12530176,0.025153691
00:42:53,5,0.2003595366626978,0.9284375,0.6941252,0.37508628,0.9068644,0.43726078,0.47706556,0.18270743,0.035431895
00:49:37,6,0.19479175832867623,0.9316875,0.7112239,0.42964226,0.91414684,0.46143848,0.5198314,0.23304527,0.0606588
00:56:49,7,0.18506677414476871,0.93390626,0.71273714,0.45344827,0.9251249,0.48278683,0.5360333,0.22773549,0.05586127
01:04:02,8,0.1821470633521676,0.9376562,0.74538743,0.4832536,0.9288816,0.4901922,0.5695524,0.2779895,0.08413388
01:10:50,9,0.1835417662411928,0.93578124,0.7255937,0.47250858,0.92813146,0.49691495,0.5538032,0.27659988,0.0884077
01:17:59,10,0.18097362080961465,0.93759376,0.72842,0.4972433,0.93116814,0.5058209,0.5704956,0.289265,0.09370806
01:25:12,11,0.17571094578504562,0.938875,0.73410964,0.5179733,0.93795735,0.51985383,0.58561194,0.3103276,0.096392535
01:32:11,12,0.17518423421680926,0.939875,0.7378876,0.5240881,0.9383578,0.5265748,0.59130716,0.31374204,0.11740972
01:39:09,13,0.1699075021147728,0.9425625,0.76054955,0.5344828,0.9415393,0.5338254,0.6086212,0.36136413,0.1493771
01:46:22,14,0.16686762918531894,0.94378126,0.7660287,0.54998285,0.94548285,0.5485643,0.62054276,0.35880443,0.16102673
01:53:33,15,0.1691982275545597,0.9441562,0.7567692,0.56744665,0.94536954,0.5425193,0.6264897,0.36402074,0.1318438
02:00:19,16,0.16791594195365905,0.94421875,0.75779486,0.5731374,0.9464584,0.5450501,0.63015145,0.3747951,0.15447822
02:07:32,17,0.16779283751547336,0.94359374,0.7498871,0.57039833,0.94717646,0.55774575,0.6247359,0.34563315,0.13447225
02:14:45,18,0.16518106950074435,0.9449375,0.7571685,0.580756,0.94926924,0.5534431,0.63449574,0.3603396,0.1114547
02:21:33,19,0.1670603371784091,0.9450625,0.7671557,0.5614825,0.9460119,0.5562318,0.62826073,0.37499246,0.16356221
02:28:43,20,0.1656560377702117,0.9460625,0.7751724,0.57680464,0.9493215,0.557722,0.6409845,0.39813298,0.15150648
02:35:57,21,0.16449629111588002,0.9459375,0.7612347,0.58208954,0.9510867,0.5630237,0.6376249,0.37793902,0.1540926
02:42:54,22,0.16433251846581698,0.9460313,0.76,0.59415805,0.9496614,0.5708407,0.64376605,0.40233657,0.17686202
02:49:51,23,0.17237042532861233,0.9451875,0.7748375,0.5680735,0.9455003,0.5481892,0.63544464,0.36999503,0.15727322
02:57:03,24,0.1645797905921936,0.9463438,0.7625,0.5903906,0.9521477,0.56494904,0.64300513,0.39174733,0.16625051
03:04:14,25,0.15980514551699163,0.9485,0.7675308,0.62125903,0.9550298,0.5809742,0.6633483,0.38410527,0.1551879
03:11:01,26,0.16057231917232276,0.94878125,0.7932451,0.5943912,0.9544273,0.5682246,0.66038656,0.42335752,0.1956032
03:18:16,27,0.16148297253251076,0.94834375,0.7748784,0.60497236,0.9534537,0.57110083,0.6577453,0.42410108,0.17707056
03:25:29,28,0.16265062537044286,0.9472188,0.7646048,0.60938036,0.95419914,0.56844145,0.6548417,0.39630717,0.1491928
03:32:14,29,0.16085102543234825,0.9482812,0.77398163,0.6080523,0.95467395,0.5756156,0.6589905,0.39734176,0.16598605
03:39:25,30,0.15960514341294765,0.94803125,0.76896554,0.6128478,0.95558774,0.5817287,0.6591802,0.40338057,0.17127192
03:46:39,31,0.15798627999424936,0.947375,0.76133955,0.6157011,0.9574687,0.5866958,0.65686077,0.40111038,0.17304213
03:53:35,32,0.1597654150724411,0.94853127,0.7740806,0.6098655,0.95646733,0.5871237,0.6601687,0.38755974,0.15542383
04:00:36,33,0.15853136195987463,0.9479687,0.76889664,0.6097141,0.9567466,0.5836297,0.657408,0.41876966,0.1611222
04:07:48,34,0.15416269855946302,0.94975,0.77601033,0.62413555,0.9594613,0.58889157,0.6695062,0.43731448,0.20623395
04:14:57,35,0.16351054483652114,0.946375,0.7653729,0.59836346,0.95510435,0.5741628,0.64869976,0.38628197,0.14826103
04:21:45,36,0.15510800163447858,0.95053124,0.7865801,0.625043,0.9597287,0.5910387,0.6752721,0.4359405,0.19862798
04:28:59,37,0.1589334265589714,0.94803125,0.76867574,0.6182998,0.95653325,0.58409977,0.66200435,0.41988388,0.18487418
04:36:12,38,0.15667960779368878,0.950125,0.7694611,0.62990195,0.95635474,0.5857774,0.66982603,0.40845564,0.17779538
04:42:57,39,0.15199757494032384,0.9512187,0.7839866,0.6431748,0.96031094,0.6079521,0.68428063,0.4543952,0.21979187
04:50:09,40,0.15387535308301448,0.950875,0.78754264,0.6321918,0.9587498,0.5942824,0.6797914,0.46144715,0.20492426
04:57:23,41,0.1527503890618682,0.95115626,0.7874893,0.63270223,0.9598754,0.5993668,0.68020445,0.4508281,0.20407057
05:04:19,42,0.1541676915884018,0.9504375,0.78089654,0.6368295,0.9607404,0.60166514,0.67899644,0.42502463,0.18648988
05:11:20,43,0.1557125166580081,0.94934374,0.77373827,0.6235781,0.9582793,0.5874784,0.6679315,0.43329027,0.19403133
05:18:32,44,0.15263563465327024,0.9508125,0.78041667,0.64143836,0.96049196,0.61318374,0.68146783,0.4498851,0.20106238
05:25:39,45,0.15010090999305248,0.95115626,0.7799083,0.6438403,0.9624628,0.6131142,0.682719,0.43654948,0.18554282
05:32:28,46,0.15037107615917922,0.95225,0.7922912,0.6394746,0.9616733,0.60335904,0.6866955,0.46546304,0.21754676
05:39:41,47,0.15201267539709806,0.95246875,0.79311794,0.6477039,0.96067077,0.6005263,0.69164103,0.44868994,0.19582511
05:46:52,48,0.1535037575736642,0.95115626,0.78198045,0.6366782,0.959721,0.5965239,0.6798267,0.45469946,0.19308138
05:53:34,49,0.14846915228664875,0.9522188,0.7887678,0.6474028,0.96429694,0.6131424,0.68933135,0.45888868,0.21330126
06:00:46,50,0.15047468023002147,0.95128125,0.78075516,0.653637,0.9621609,0.6180043,0.688413,0.43747348,0.18259183
06:07:58,51,0.1566243123859167,0.95021874,0.7773987,0.629924,0.9579079,0.59117943,0.6735411,0.43369234,0.17470586
